year,GEOID,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,Borough,NTA
2009,36061030900,255,110,103,42,89,103,63,0,0,0,0,21,1,109,1,1,13,11,9,0,8,1,59,0,7,14,0,141,79,3,24,2,6,152,103,26,22,57,40,99,156,0,0,0,0,0,0,0,0,0,0,Manhattan,Marble Hill-Inwood
2009,36061031100,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Manhattan,park-cemetery-etc-Manhattan
2009,36061031703,13845,3407,9104,1334,1083,1353,11409,0,0,0,208,1,34,160,48,805,6870,145,2010,1368,478,10,158,53,813,684,0,9645,1736,54,2167,30,213,12262,1583,417,852,2105,7064,8151,5694,0,0,0,0,0,0,0,0,0,0,Manhattan,Battery Park City-Lower Manhattan
2009,36061031704,6099,1424,4052,623,584,642,4873,1,0,0,125,1,14,70,2,314,2501,173,875,516,232,1,58,128,645,443,0,4222,808,30,924,13,102,5317,782,227,452,980,3016,3540,2559,0,0,0,0,0,0,0,0,0,0,Manhattan,Battery Park City-Lower Manhattan
2009,36061031900,1079,189,725,165,45,119,915,0,0,0,43,5,35,0,0,21,684,7,202,3,1,0,0,1,67,10,0,774,144,2,144,2,13,953,126,38,91,207,554,649,430,0,0,0,0,0,0,0,0,0,0,Manhattan,park-cemetery-etc-Manhattan
2009,36081000100,6788,1531,4361,896,902,3025,2861,0,0,0,1334,1021,520,1078,1874,78,3,167,69,8,325,8,24,51,109,119,0,4248,1780,58,582,12,108,4671,2117,1036,1343,1557,1321,5325,1463,0,0,0,0,0,0,0,0,0,0,Queens,Hunters Point-Sunnyside-West Maspeth
2009,36081000200,48,12,24,12,36,6,6,0,0,0,0,9,2,17,0,0,0,0,10,0,5,0,0,0,4,1,0,25,3,1,18,0,1,34,14,7,7,12,10,20,28,0,0,0,0,0,0,0,0,0,0,Queens,Woodhaven
2009,36081000400,148,38,83,27,67,57,24,0,0,1,2,9,31,16,1,3,4,1,17,0,0,2,13,0,39,9,0,67,20,3,51,1,6,97,51,27,24,24,35,98,50,0,0,0,0,0,0,0,0,0,0,Queens,Woodhaven
2009,36081000600,105,19,70,16,28,46,31,0,0,0,24,13,0,1,2,0,0,0,0,0,11,0,47,1,2,4,0,40,46,0,16,0,3,77,28,22,24,24,16,58,47,0,0,0,0,0,0,0,0,0,0,Queens,Woodhaven
2009,36081000700,4977,770,3320,887,798,1574,2605,0,0,0,1973,667,337,104,498,24,88,32,145,1,400,13,313,47,181,153,1,3550,804,28,505,19,71,3941,1036,633,995,1352,1227,3702,1275,0,0,0,0,0,0,0,0,0,0,Queens,Hunters Point-Sunnyside-West Maspeth
2009,36081000800,80,9,51,20,19,43,18,0,0,0,5,0,1,2,50,0,4,0,0,0,0,0,17,0,0,1,0,55,2,1,19,1,2,61,19,14,10,16,31,61,19,0,0,0,0,0,0,0,0,0,0,Queens,Woodhaven
2009,36081001000,118,24,65,29,58,43,17,0,0,0,0,1,3,29,0,0,1,9,3,0,3,0,29,1,12,27,0,74,13,6,21,3,1,79,39,24,26,22,22,63,55,0,0,0,0,0,0,0,0,0,0,Queens,Woodhaven
2009,36081001200,251,68,131,52,125,76,50,0,0,0,12,5,6,108,5,17,39,1,5,0,6,0,17,0,9,21,0,165,24,2,54,2,4,187,64,24,41,56,62,111,140,0,0,0,0,0,0,0,0,0,0,Queens,Woodhaven
2009,36081001400,179,57,94,28,89,56,34,0,0,0,5,0,0,34,1,0,29,0,1,0,6,13,8,0,78,4,0,98,29,1,41,1,9,119,60,26,32,30,34,99,80,0,0,0,0,0,0,0,0,0,0,Queens,Woodhaven
2009,36081001600,247,45,142,60,70,85,92,0,0,0,14,64,5,52,0,0,33,5,0,0,2,35,2,14,2,19,0,172,43,1,30,0,1,194,53,24,43,85,50,136,111,0,0,0,0,0,0,0,0,0,0,Queens,Woodhaven
