GEOID,d_permits,d_permits_2011
36047042300,397.9643158795686,0
36047042400,80.41906155425764,80.41906155425764
36047042500,61.72556959210653,0
36047042700,225.86027520033088,0
36047043200,52.211017443477495,0
36047043300,123.15350400451355,0
36047043400,92.7253899532971,92.7253899532971
36047043500,15.402025818533973,0
36047043700,46.491407917079194,15.49713597235973
36047043800,16.59526764914496,0
36047044200,127.494386339737,14.166042926637445
36047044500,15.58929965684694,0
36047044900,1.2068214480348987,0
36047045200,194.6130657998124,83.40559962849103
36047045400,58.72298373228495,19.57432791076165
36047045600,67.42417950189514,67.42417950189514
36047045800,317.641129821961,101.0676322160785
36047046800,45.18957295025938,9.037914590051876
36047047000,56.981331951457804,56.981331951457804
36047047200,134.89364480319114,14.988182755910126
36047047600,275.02843570303287,137.51421785151643
36047047700,248.02435222935603,188.97093503189032
36047047800,163.90870044953257,23.41552863564751
36047048000,33.617299338184495,0
36047048200,132.30993339567573,0
36047049100,36.450586951430836,36.450586951430836
36047049300,45.4364144768009,0
36047049500,100.30655622409112,0
36047049700,203.77281762547025,0
36047049900,128.54752527194458,73.45572872682547
36047050100,29.71783314438704,0
36047050202,74.7178259246227,0
36047050300,144.68318350302704,0
36047050500,61.153037705482014,30.576518852741007
36047050804,100.48165857086052,0
36047050900,438.39346242268476,347.06149108462546
36047051100,65.15545330771177,16.28886332692794
36047051300,59.92518706463147,49.937655887192896
36047051700,41.469020617537545,0
36047051900,66.25593968777359,0
36047052300,54.68118068526484,0
36047052700,135.87982310074236,67.93991155037118
36047053100,112.213643311221,16.030520473031572
36047053300,13.36442119914593,0
36047053500,19.968875070776015,0
36047053700,15.466436566046902,0
