GEOID,Borough,NTA,p_college_pop_2000
36005029500,Bronx,Spuyten Duyvil-Kingsbridge,0.3372636243579574
36005029600,Bronx,Pelham Parkway,0.5068158687212178
36005029700,Bronx,Spuyten Duyvil-Kingsbridge,0.367424889052356
36005030000,Bronx,Pelham Bay-Country Club-City Island,0.14119447867946114
36005030100,Bronx,Spuyten Duyvil-Kingsbridge,0.3190855932697249
36005030200,Bronx,Co-op City,0.15377174333326996
36005030701,Bronx,North Riverdale-Fieldston-Riverdale,0.44845234663216255
36005030900,Bronx,North Riverdale-Fieldston-Riverdale,0.4649498963067673
36005031000,Bronx,Allerton-Pelham Gardens,0.19212994484916648
36005031200,Bronx,Allerton-Pelham Gardens,0.2040679106985454
36005031400,Bronx,Allerton-Pelham Gardens,0.1888636213293334
36005031600,Bronx,Allerton-Pelham Gardens,0.14785673553170792
36005031800,Bronx,Allerton-Pelham Gardens,0.15434107446666176
36005032300,Bronx,North Riverdale-Fieldston-Riverdale,0.4085756407900576
36005032400,Bronx,Bronxdale,0.05769965242102977
36005032600,Bronx,Allerton-Pelham Gardens,0.22783554464651234
36005032800,Bronx,Bronxdale,0.1142885765254703
36005033000,Bronx,Bronxdale,0.10273813929542479
36005033201,Bronx,Bronxdale,0.19105887194566915
36005033202,Bronx,Bronxdale,0.10004258651781453
36005033400,Bronx,park-cemetery-etc-Bronx,0.019733683767519238
36005033500,Bronx,North Riverdale-Fieldston-Riverdale,0.3514675482500472
36005033600,Bronx,Bronxdale,0.04652127177411389
36005033700,Bronx,North Riverdale-Fieldston-Riverdale,0.39832590417221425
36005033800,Bronx,Bronxdale,0.036144866234495754
36005034000,Bronx,Bronxdale,0.07274302868693819
36005034200,Bronx,Allerton-Pelham Gardens,0.13345642702491428
36005034300,Bronx,North Riverdale-Fieldston-Riverdale,0.22769191193713512
36005034400,Bronx,Allerton-Pelham Gardens,0.17515309595045334
36005034500,Bronx,North Riverdale-Fieldston-Riverdale,0.347334882802131
36005034800,Bronx,Allerton-Pelham Gardens,0.09850102870595369
36005035000,Bronx,Allerton-Pelham Gardens,0.171600396487037
36005035100,Bronx,North Riverdale-Fieldston-Riverdale,0.2540276251474326
36005035600,Bronx,Eastchester-Edenwald-Baychester,0.09557747334328132
36005035800,Bronx,Eastchester-Edenwald-Baychester,0.14703354765557256
36005035900,Bronx,East Tremont,0.046653210595621504
